lake_name,age_CE,summer_temperature,winter_temperature,summer_precipitation,winter_precipitation,layer,detrended_thickness,record_ID
Lake DV09,1839,0.16863403320314774,-34.458085123697884,38.012579600016274,10.47659683227539,varve,0.17099999999999993,Lake DV09 - varve
Lake DV09,1840,0.17682291666670835,-33.65447082519529,43.48751576741537,10.243073463439941,varve,-0.061,Lake DV09 - varve
Lake DV09,1841,-0.11538289388016665,-35.264125569661445,34.99011675516764,9.988152186075846,varve,-0.11300000000000004,Lake DV09 - varve
Lake DV09,1842,-0.40606282552079165,-34.515707397460915,41.07344436645508,9.785263697306315,varve,0.08499999999999996,Lake DV09 - varve
Lake DV09,1843,-0.18433227539060226,-36.061977132161445,39.596457163492836,10.027263323465982,varve,0.253,Lake DV09 - varve
Lake DV09,1844,-0.20806477864579165,-34.17278137207029,39.06483586629232,10.254825592041016,varve,-0.09400000000000004,Lake DV09 - varve
Lake DV09,1845,0.013696289062522737,-33.74632873535154,38.84357452392578,11.241497357686361,varve,0.58,Lake DV09 - varve
Lake DV09,1846,0.2665852864583371,-32.48236694335935,39.44182205200195,11.11968739827474,varve,-0.25399999999999995,Lake DV09 - varve
Lake DV09,1847,-0.08089803059891665,-35.143693033854134,41.28546015421549,11.801418622334799,varve,-0.10100000000000003,Lake DV09 - varve
Lake DV09,1848,-0.34057210286454165,-35.045309448242165,39.52304204305013,10.061047871907553,varve,0,Lake DV09 - varve
Lake DV09,1849,-0.10798746744791288,-33.35321655273435,38.528856913248696,11.156402905782064,varve,1.124,Lake DV09 - varve
Lake DV09,1850,0.19578450520833712,-35.29864603678382,39.75392150878906,10.084071159362793,varve,0.14499999999999996,Lake DV09 - varve
Lake DV09,1851,0.28325805664064774,-34.47813517252601,37.57723617553711,10.642329851786295,varve,0.14899999999999997,Lake DV09 - varve
Lake DV09,1852,-0.13511759440103788,-32.96013488769529,36.14033508300781,9.973182678222656,varve,0.273,Lake DV09 - varve
Lake DV09,1853,-0.40564575195310226,-33.63486328124998,42.49013137817383,10.495701789855957,varve,0,Lake DV09 - varve
Lake DV09,1854,-0.017370605468727263,-32.42814229329426,36.241503397623696,11.33983325958252,varve,-0.09399999999999996,Lake DV09 - varve
Lake DV09,1855,-0.15795491536454165,-31.897070312499977,37.52938969930013,11.274412473042807,varve,-0.01399999999999995,Lake DV09 - varve
Lake DV09,1856,-0.12067260742185226,-34.29119466145832,40.255819956461586,10.327040990193685,varve,-0.08700000000000002,Lake DV09 - varve
Lake DV09,1857,-0.04021809895829165,-35.0602121988932,37.98959732055664,9.972161610921225,varve,-0.11800000000000004,Lake DV09 - varve
Lake DV09,1858,-0.14132283528641665,-35.15472513834632,40.387734731038414,9.96782143910726,varve,5.462,Lake DV09 - varve
Lake DV09,1859,0.36733398437502274,-33.17204895019529,37.28343709309896,11.110093434651693,varve,-0.01,Lake DV09 - varve
Lake DV09,1860,0.12614339192708712,-33.7487854003906,41.132083892822266,9.982618649800619,varve,0.07199999999999995,Lake DV09 - varve
