lake_name,layer,age_CE,tresh_pos_z5,tresh_neg_z2_5,thickness,mm,mad,scaled_magnitude,scaled_magnitude_sign,record_label
Lower Murray Lake,varve,1860,1.2730000000000001,-0.15950000000000003,1.587,0.318,0.191,6.643979057591622,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1852,0.9,-0.05249999999999999,1.09,0.265,0.127,6.496062992125984,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1847,0.91,-0.04249999999999998,1.154,0.275,0.127,6.921259842519684,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1838,0.6900000000000002,0.05249999999999996,3.133,0.265,0.08500000000000002,33.74117647058823,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1828,0.837,0.04200000000000004,4.053,0.307,0.10599999999999998,35.339622641509436,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1821,0.732,0.09450000000000003,1.386,0.307,0.08499999999999999,12.694117647058825,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1815,0.7899999999999999,0.0025000000000000577,1.778,0.265,0.10499999999999998,14.409523809523812,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1801,0.526,0.038500000000000006,0.709,0.201,0.065,7.815384615384615,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1796,0.43699999999999994,0.047000000000000014,0.698,0.177,0.05199999999999999,10.01923076923077,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1785,1.0770000000000002,-0.04800000000000004,1.365,0.327,0.15000000000000002,6.919999999999999,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1782,1.0919999999999999,-0.05549999999999994,1.689,0.327,0.15299999999999997,8.901960784313728,positive,Lower Murray Lake - varve
Lower Murray Lake,varve,1770,0.8540000000000001,-0.016000000000000014,0.886,0.274,0.11600000000000002,5.275862068965516,positive,Lower Murray Lake - varve
Montcortès,light layer,1797,0.6800000000000002,0.07999999999999999,0.8,0.28,0.08000000000000002,6.499999999999999,positive,Montcortès - light layer
Montcortès,light layer,1828,0.6800000000000002,0.07999999999999999,0.8,0.28,0.08000000000000002,6.499999999999999,positive,Montcortès - light layer
Montcortès,light layer,1850,0.7999999999999998,0.20000000000000012,1,0.4,0.07999999999999996,7.5000000000000036,positive,Montcortès - light layer
Montcortès,light layer,1857,0.7999999999999998,0.20000000000000012,0.12,0.4,0.07999999999999996,-3.500000000000002,negative,Montcortès - light layer
Nar Gölü,dark layer,1799,0.057999999999999996,0.005500000000000001,0,0.023,0.006999999999999999,-3.285714285714286,negative,Nar Gölü - dark layer
Nar Gölü,dark layer,1791,0.043,0.013,0.061,0.023,0.004,9.5,positive,Nar Gölü - dark layer
Nar Gölü,dark layer,1785,0.047,0.009499999999999996,0.005,0.022,0.005000000000000001,-3.399999999999999,negative,Nar Gölü - dark layer
Nar Gölü,dark layer,1779,0.057000000000000016,0.00449999999999999,0.003,0.022,0.007000000000000003,-2.714285714285713,negative,Nar Gölü - dark layer
Nar Gölü,dark layer,1774,0.057999999999999996,0.005500000000000001,0.002,0.023,0.006999999999999999,-3,negative,Nar Gölü - dark layer
Nar Gölü,light layer,1863,0.096,0.020999999999999994,0.019,0.046,0.010000000000000002,-2.6999999999999993,negative,Nar Gölü - light layer
Nar Gölü,light layer,1852,0.08000000000000003,0.03499999999999999,0.012,0.05,0.006000000000000005,-6.333333333333329,negative,Nar Gölü - light layer
